name,m,x,y,z,vx,vy,vz
Sun (10),1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercury (199),1.6601367952719304e-07,-0.304722357726749,-0.3325775506118373,0.0007792484042775098,0.01502781987915455,-0.01771401095075196,-0.002826112466693565
Venus (299),2.447838938855945e-06,0.3358487710079417,-0.6454036762381928,-0.02823387663640797,0.01780538871474316,0.009267631908437131,-0.0009003591021170165
Earth (399),3.0034895963231186e-06,-0.4057610350996527,0.8960764823628525,-3.824897258943601e-05,-0.01595899905332188,-0.007161063820064753,8.038086728925156e-07
Mars (499),3.2271514450538743e-07,-1.519975252538098,-0.5575780746630177,0.0256189485115503,0.005342258078161586,-0.01194218682096845,-0.0003813521700199525
Jupiter (599),0.0009547919384243222,-4.19699346364062,-3.443789332425801,0.1082136923541245,0.004699976227606208,-0.005483274298649877,-8.240419802724855e-05
Saturn (699),0.0002858859806661029,0.1191203686426452,-10.06281706200848,0.1701624150290715,0.005277632018899796,4.474047167115414e-05,-0.0002111106235944936
Uranus (799),4.3662440433515637e-05,17.69632862621499,9.102683736665599,-0.1953321686364547,-0.001822781884560703,0.003308861036154294,3.603925675999578e-05
Neptune (899),5.151389020535497e-05,28.69205245834975,-8.555987061435763,-0.4850934912251876,0.0008810481133187169,0.003021874277187614,-8.257551275522695e-05
PANSTARRS (P/2019 X2),1e-20,3.363921595310205,-2.936180670777269,1.178089193912616,0.00172757726263056,0.006622933667081569,-0.0001533569231167814
Lemmon (C/2012 BJ98),1e-20,12.56884015636503,-4.59135100345081,-0.3614603160047066,0.005123569161509403,0.0008807434479671751,-0.0002181765816978563
LINEAR (P/2015 TP200),1e-20,-4.207539227294101,1.404901530367203,0.2940358202634314,-0.006472566651735514,-0.007052819302611291,-0.000958984784237718
144P/Kushida,1e-20,-2.254047614791984,-3.672353189801362,-0.0375890268926344,0.002633197425951334,-0.007318112378792622,0.0003930509778807317
328P/LONEOS-Tucker,1e-20,-4.667732655504565,2.21930448466331,0.2012110666393008,-0.005463937546810591,-0.003409464453568436,-0.001578086534440849
235P/LINEAR,1e-20,-2.624489645810607,0.7917574455719318,-0.2831651991275029,-0.002807146103286967,-0.01142890589722368,0.001447773225628928
Hill (P/2014 L3),1e-20,1.568052744767476,8.948815370338595,-0.5789016293953994,-0.002642021708775682,0.004663576969386506,4.127661282217755e-05
73P-K/Schwassmann-Wachmann 3,1e-20,2.259695522078435,2.301760385500143,-0.2620597181324709,-0.0002426107728872443,0.00930905202363207,0.0006885627357013361
Catalina (P/1999 XN120),1e-20,-1.985473898659347,2.789198951814122,-0.1038126112127995,-0.008786748067246983,-0.004905013385911373,-0.0008597710052766946
Christensen (C/2014 M2),1e-20,9.163249318563478,0.273520971577939,5.209156847976715,0.004350115424584542,0.006014760344276869,0.0009099938054799949
377P/Scotti,1e-20,-4.690185580426569,3.595638001100513,-0.9322498942739651,-0.003070566977610291,-0.00673178615601517,0.0003904640942420271
277P/LINEAR,1e-20,-0.5477925718417638,-5.560099997162633,-0.3487906540319233,0.005100926995500449,0.0007640915521611088,0.001551920115054718
ATLAS (C/2020 X2),1e-20,7.545935199317801,-1.311744453801328,-2.274921260736491,-0.003946395872489,0.006312619550571498,0.0006959688089795348
SOHO (P/2003 T12),1e-20,-3.911845323954642,-2.252958958213565,0.5034328987767857,0.001181101669938254,-0.003707018080273861,0.0007182104278506038
McNaught (P/2011 P1),1e-20,-7.867000308228077,5.168895272431784,0.5677814067484539,-0.003411054795889208,-0.003390433250886662,-0.0003090741501729435
73P-AC/Schwassmann-Wachmann 3,1e-20,2.260676080064069,1.988353307602776,-0.2854846481947252,0.000513584326900957,0.00999292630135995,0.0005944054012411052
Christensen (C/2014 M2),1e-20,9.163249318563478,0.273520971577939,5.209156847976715,0.004350115424584542,0.006014760344276869,0.0009099938054799949
PANSTARRS (P/2019 S2),1e-20,-1.148491441066146,-3.894288265278446,0.2511198945410082,0.008878724243526339,-0.001265242477774894,-0.001625293998917284
Scotti (P/2010 H4),1e-20,6.928673525246456,4.615875689998249,-0.06481560926542994,-0.002501567669666031,0.004464452766246935,0.0001993090424501597
73P-M/Schwassmann-Wachmann 3,1e-20,2.262218701271572,2.235718196424238,-0.2674605285727932,-9.010110670413821e-05,0.009453958845699594,0.0006701729251794626
73P-BE/Schwassmann-Wachmann 3,1e-20,1.92156778499756,3.603439197457141,-0.09550015679232975,-0.002769317825170685,0.006189361154651318,0.0009214558470236738
415P/Tenagra,1e-20,4.652916195026912,-0.2879645052616685,-0.7999787680473802,-0.00115441768358887,0.006326176464578107,-0.003446783447143228
73P-AO/Schwassmann-Wachmann 3,1e-20,2.269260501897465,2.17010205357015,-0.2766781808234803,6.78987437577216e-05,0.00958432665534296,0.0006306076564948964
Leonard (P/2018 L5),1e-20,0.3305401858386724,-2.395772224490826,0.07971330205416793,0.01220451328370863,0.003734457524970553,0.0001855931529310593
405P/Lemmon,1e-20,3.188575177748685,-5.018192211154399,-0.8566052462568176,0.002822009758763783,0.002884575336881962,0.0004480483975389843
247P/LINEAR,1e-20,3.140457503242527,-0.7495178337486469,-0.7246967099863649,-0.003897215877010321,0.00920900235839667,0.002081803115792802
222P/LINEAR,1e-20,-4.152428848438245,-1.019377448623534,-0.04599176459127892,0.004692809516050016,-0.003756760815098928,-0.0003839211967955507
Leonard (P/2020 S6),1e-20,-1.719841438712697,-4.92757232629032,0.2048939114681939,0.005372787680938401,-0.0007178878865722348,0.00141012824420416
PANSTARRS (C/2016 P4),1e-20,6.341445531929778,-0.7180984211359991,1.983673611722436,0.002864541701755106,0.007712082259485933,0.004474074162880173
LINEAR (P/2010 WK),1e-20,-5.603218587618381,-7.806847879430099,-1.321590796641552,0.002677654259877287,-0.001497218958980168,-0.0004029740076023414
Spacewatch (P/2010 UH55),1e-20,-0.9184690050407666,-9.971396641665498,0.7410107678789436,0.00349241960280857,-0.001358988883180849,0.0005214704060654974
